Stroke Fold,Non-Stroke Fold,Best Parameters,Best Score,Accuracy,Precision,Recall,F1-Score
1,1,"OrderedDict({'max_depth': 17, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 19})",0.8206692572855884,0.84,0.8374785591766725,0.84,0.8372237141086551
1,2,"OrderedDict({'max_depth': 30, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 83})",0.8480268681780018,0.9466666666666667,0.9540229885057471,0.9466666666666667,0.947530864197531
1,3,"OrderedDict({'max_depth': 41, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 200})",0.8236775818639798,0.7933333333333333,0.7894179894179895,0.7933333333333333,0.7904150620453572
1,4,"OrderedDict({'max_depth': 36, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10})",0.8303946263643996,0.92,0.9228395061728395,0.92,0.9207221350078493
1,5,"OrderedDict({'max_depth': 50, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 14, 'n_estimators': 200})",0.8178001679261125,0.8333333333333334,0.8309838144253003,0.8333333333333334,0.8286800918379865
2,1,"OrderedDict({'max_depth': 30, 'max_features': 0.388509962593231, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.8290486859148808,0.9066666666666666,0.9270833333333334,0.9066666666666666,0.908885116015846
2,2,"OrderedDict({'max_depth': 14, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.8396305625524768,0.9333333333333333,0.9359567901234569,0.9333333333333333,0.9339351125065412
2,3,"OrderedDict({'max_depth': 23, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.8077246011754827,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9346092503987241
2,4,"OrderedDict({'max_depth': 28, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.8278757346767422,0.9333333333333333,0.9444444444444445,0.9333333333333333,0.9346092503987241
2,5,"OrderedDict({'max_depth': 22, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 142})",0.8270361041141898,0.92,0.9354838709677419,0.92,0.9217325227963525
3,1,"OrderedDict({'max_depth': 16, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 20, 'n_estimators': 31})",0.8139564320342266,0.8389261744966443,0.8364040911102624,0.8389261744966443,0.8348649113749784
3,2,"OrderedDict({'max_depth': 31, 'max_features': 0.1, 'min_samples_leaf': 3, 'min_samples_split': 2, 'n_estimators': 200})",0.8211586901763225,0.8657718120805369,0.8641550662453509,0.8657718120805369,0.8633495853884486
3,3,"OrderedDict({'max_depth': 16, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 4, 'n_estimators': 200})",0.7984886649874054,0.9060402684563759,0.9116482546441136,0.9060402684563759,0.9072976597884921
3,4,"OrderedDict({'max_depth': 45, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 118})",0.8144416456759025,0.8322147651006712,0.8293820273686044,0.8322147651006712,0.8297505707250188
3,5,"OrderedDict({'max_depth': 50, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.8178001679261125,0.9328859060402684,0.9442611762029348,0.9328859060402684,0.9342268796525243
4,1,"OrderedDict({'max_depth': 50, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.824886396719112,0.9463087248322147,0.9538443423996232,0.9463087248322147,0.9472162424549408
4,2,"OrderedDict({'max_depth': 27, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 185})",0.8329135180520572,0.9261744966442953,0.9397091722595077,0.9261744966442953,0.9277512755131128
4,3,"OrderedDict({'max_depth': 13, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 10})",0.815281276238455,0.8859060402684564,0.8883250216883373,0.8859060402684564,0.8867317692829482
4,4,"OrderedDict({'max_depth': 40, 'max_features': 0.1232875939345407, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 178})",0.8144416456759025,0.959731543624161,0.9641244661378889,0.959731543624161,0.9602704256236395
4,5,"OrderedDict({'max_depth': 19, 'max_features': 0.13040197047458113, 'min_samples_leaf': 1, 'min_samples_split': 6, 'n_estimators': 153})",0.8245172124265324,0.8791946308724832,0.8854101488972259,0.8791946308724832,0.8808112768709184
5,1,"OrderedDict({'max_depth': 42, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 138})",0.8014041660865199,0.9060402684563759,0.9269202087994034,0.9060402684563759,0.9083766327487912
5,2,"OrderedDict({'max_depth': 50, 'max_features': 1.0, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.8094038623005878,0.912751677852349,0.9310456808833081,0.912751677852349,0.914828118144344
5,3,"OrderedDict({'max_depth': 47, 'max_features': 0.1, 'min_samples_leaf': 1, 'min_samples_split': 15, 'n_estimators': 171})",0.7732997481108312,0.7986577181208053,0.7986577181208053,0.7986577181208053,0.7986577181208053
5,4,"OrderedDict({'max_depth': 33, 'max_features': 0.16350415513718713, 'min_samples_leaf': 1, 'min_samples_split': 10, 'n_estimators': 196})",0.8010075566750631,0.8590604026845637,0.8583931379715153,0.8590604026845637,0.858684505928119
5,5,"OrderedDict({'max_depth': 22, 'max_features': 0.10530542180187306, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200})",0.7968094038623006,0.9194630872483222,0.9353064143470129,0.9194630872483222,0.921285682759337
